City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Windspeed
manggar,98,ID,2019-08-21 20:38:52,61,-2.88,108.27,86.17,9.91
ikom,100,NG,2019-08-21 20:38:53,97,5.96,8.72,72.67,2.15
luderitz,0,NA,2019-08-21 20:38:54,12,-26.65,15.16,78.8,10.29
shatrovo,0,BG,2019-08-21 20:38:55,72,42.29,22.98,64.99,4.7
kyaikto,100,MM,2019-08-21 20:38:57,87,17.31,97.01,80.23,6.06
hovd,20,NO,2019-08-21 20:38:58,93,63.83,10.7,53.01,9.17
rondonopolis,27,BR,2019-08-21 20:38:59,39,-16.46,-54.64,76.09,1.54
amapa,75,HN,2019-08-21 20:39:00,70,15.09,-87.97,84.2,12.75
beisfjord,68,NO,2019-08-21 20:39:02,87,68.38,17.6,54,4.7
fairview,90,CA,2019-08-21 20:39:03,68,56.07,-118.38,68,12.75
cabo san lucas,20,MX,2019-08-21 20:34:19,74,22.89,-109.91,87.8,8.05
pimentel,0,BR,2019-08-21 20:39:05,97,-3.7,-45.5,71.59,2.66
liverpool,40,GB,2019-08-21 20:39:07,82,53.41,-2.98,61,13.87
petrovskaya,75,RU,2019-08-21 20:39:08,47,45.43,37.96,78.8,13.42
aden,46,YE,2019-08-21 20:35:12,60,12.79,45.03,85.81,12.68
kodiak,90,US,2019-08-21 20:39:10,88,39.95,-94.76,75.2,4.7
gat,20,SN,2019-08-21 20:39:11,83,14.69,-16.54,82.4,5.82
botshabelo,0,ZA,2019-08-21 20:39:14,66,-29.23,26.73,39.2,2.24
minudasht,0,IR,2019-08-21 20:39:15,83,37.23,55.37,71.6,2.24
jumla,100,NP,2019-08-21 20:39:16,94,29.28,82.18,55.39,0.09
port alfred,0,ZA,2019-08-21 20:39:17,79,-33.59,26.89,57.99,8.08
ostrovnoy,0,RU,2019-08-21 20:37:48,86,68.05,39.51,51.79,7.81
castro,90,CL,2019-08-21 20:39:20,100,-42.48,-73.76,46.4,2.24
marsh harbour,11,BS,2019-08-21 20:39:21,72,26.54,-77.06,82.93,14.36
dikson,0,RU,2019-08-21 20:39:22,86,73.51,80.55,44.77,9.78
buraydah,0,SA,2019-08-21 20:39:23,37,26.33,43.97,82.4,4.7
morro bay,1,US,2019-08-21 20:38:41,68,35.37,-120.85,95,4.7
ucluelet,20,CA,2019-08-21 20:35:32,72,48.94,-125.55,69.01,13.87
sakaiminato,75,JP,2019-08-21 20:39:27,74,35.55,133.23,86,4.7
wolnzach,0,DE,2019-08-21 20:39:28,87,48.61,11.62,57.99,6.93
victor harbor,75,AU,2019-08-21 20:39:29,82,-35.55,138.62,57.99,11.41
black river,40,JM,2019-08-21 20:39:30,79,18.03,-77.85,86,11.41
suntar,100,RU,2019-08-21 20:39:33,90,62.16,117.65,57.01,1.99
mastic beach,75,US,2019-08-21 20:39:34,88,40.77,-72.85,78.01,6.93
guiratinga,40,BR,2019-08-21 20:39:35,38,-16.35,-53.76,76.81,2.24
kijang,90,KR,2019-08-21 20:37:37,88,35.24,129.21,80.6,10.29
kasama,0,ZM,2019-08-21 20:39:37,71,-10.21,31.19,43.51,3.11
san patricio,0,PY,2019-08-21 20:39:39,84,-26.98,-56.83,52.51,6.6
kahului,40,US,2019-08-21 20:37:09,59,20.89,-156.47,89.6,25.28
megion,41,RU,2019-08-21 20:39:41,100,61.04,76.11,55.4,4.47
serebryansk,65,KZ,2019-08-21 20:39:42,56,49.68,83.3,65.11,13.18
la sarre,20,CA,2019-08-21 20:39:44,92,48.8,-79.2,49.81,8.61
inirida,0,CO,2019-08-21 20:39:45,96,3.87,-67.92,72.49,1.36
linjiang,6,CN,2019-08-21 20:39:48,50,41.81,126.91,72.13,12.3
hede,0,SE,2019-08-21 20:39:50,93,60.45,15.49,50,4.7
kieta,100,PG,2019-08-21 20:39:51,73,-6.22,155.63,84.73,9.78
antalaha,100,MG,2019-08-21 20:39:52,96,-14.9,50.28,64.21,3.47
ancud,90,CL,2019-08-21 20:39:53,100,-41.87,-73.83,46.4,2.24
coquimbo,0,CL,2019-08-21 20:39:54,81,-29.95,-71.34,53.6,3.36
busselton,0,AU,2019-08-21 20:39:56,38,-33.64,115.35,64.99,19.37
naze,100,NG,2019-08-21 20:39:57,97,5.43,7.07,73.75,3.15
jalu,0,LY,2019-08-21 20:40:01,48,29.03,21.55,74.11,4.92
dingle,100,PH,2019-08-21 20:37:04,87,11,122.67,77.53,6.87
la palma,49,CO,2019-08-21 20:40:04,71,5.36,-74.39,71.95,2.24
masumbwe,88,TZ,2019-08-21 20:40:10,47,-3.65,32.16,69.43,3.78
malanje,88,AO,2019-08-21 20:40:12,98,-9.54,16.35,57.55,3.49
lebu,75,ET,2019-08-21 20:40:13,93,8.96,38.73,57.2,6.93
san,0,ML,2019-08-21 20:37:00,81,13.3,-4.9,76.99,7.38
